Data;Origem;Soma de Captação
04/11/2021;Onshore;-415529,4
05/11/2021;Onshore;824002,3717
08/11/2021;Onshore;1074250,68
09/11/2021;Onshore;1406219,41
10/11/2021;Offshore;-54590
10/11/2021;Onshore;729112,52
11/11/2021;Onshore;1523713,768
12/11/2021;Onshore;1164676,07
16/11/2021;Onshore;-905042,86
17/11/2021;Onshore;286356,51
18/11/2021;Onshore;1716160,68
19/11/2021;Onshore;2899484,83
22/11/2021;Onshore;-746745,98
23/11/2021;Onshore;-2797445,89
24/11/2021;Onshore;237352,08
25/11/2021;Onshore;2390275,63
26/11/2021;Onshore;1063212,86
29/11/2021;Offshore;-10303,54539
29/11/2021;Onshore;-2769828,47
30/11/2021;Onshore;13143256,37
01/12/2021;Onshore;61800,64625
02/12/2021;Offshore;-24323,17864
02/12/2021;Onshore;313636,68
03/12/2021;Onshore;6042428,724
06/12/2021;Onshore;60591,56
07/12/2021;Offshore;-9448842,5
07/12/2021;Onshore;1683110,826
08/12/2021;Onshore;-211274,57
09/12/2021;Onshore;-3175712,84
10/12/2021;Onshore;-326757,04
13/12/2021;Onshore;2217981,49
14/12/2021;Onshore;1879968,11
15/12/2021;Onshore;198233,07
16/12/2021;Onshore;-419441,59
17/12/2021;Onshore;2414632,37
20/12/2021;Onshore;1120303,79
22/12/2021;Onshore;1764353,48
23/12/2021;Offshore;39842691
23/12/2021;Onshore;3230496,28
24/12/2021;Onshore;171328,72
27/12/2021;Onshore;2742638,35
28/12/2021;Offshore;161773,0931
28/12/2021;Onshore;4232112,35
29/12/2021;Offshore;-9059,04
29/12/2021;Onshore;1415553,61
30/12/2021;Offshore;-21677,78708
30/12/2021;Onshore;483158,75
31/12/2021;Onshore;66038,96
03/01/2022;Offshore;-25040,78123
03/01/2022;Onshore;-2621132,22
04/01/2022;Onshore;-100870,35
05/01/2022;Onshore;-1291791,14
06/01/2022;Offshore;-11408400
06/01/2022;Onshore;1686616,42
07/01/2022;Onshore;2161936,42
10/01/2022;Onshore;-551242,57
11/01/2022;Onshore;-2102230,89
13/01/2022;Onshore;1413385,45
14/01/2022;Onshore;-869582,62
17/01/2022;Onshore;270904,92
18/01/2022;Offshore;-10576607,8
18/01/2022;Onshore;-200389,96
19/01/2022;Onshore;-45474,74
20/01/2022;Onshore;330161,51
21/01/2022;Offshore;-2720050
21/01/2022;Onshore;1322683,38
24/01/2022;Onshore;2479,58
25/01/2022;Onshore;1444702,83
26/01/2022;Onshore;535310
27/01/2022;Onshore;-593361,07
31/01/2022;Offshore;-82188,56986
31/01/2022;Onshore;-1089250,78
01/02/2022;Offshore;-710,45293
01/02/2022;Onshore;39613,04
02/02/2022;Offshore;-21367,05757
02/02/2022;Onshore;-1847198,49
03/02/2022;Offshore;-18558,75
03/02/2022;Onshore;604356,64
04/02/2022;Offshore;10656,8
04/02/2022;Onshore;2291243,35
07/02/2022;Onshore;510924,18
08/02/2022;Offshore;-7744731,414
08/02/2022;Onshore;-374657,2
09/02/2022;Offshore;16549077,8
09/02/2022;Onshore;6756832,37
10/02/2022;Onshore;387887,4
11/02/2022;Onshore;5518605,11
14/02/2022;Onshore;8412,76
15/02/2022;Onshore;-40476,81
16/02/2022;Onshore;1040568,46
17/02/2022;Onshore;1964583,46
18/02/2022;Offshore;-96260,625
18/02/2022;Onshore;4188369,87
21/02/2022;Onshore;153112,27
22/02/2022;Onshore;43957,11
23/02/2022;Onshore;30242,79
24/02/2022;Offshore;-46921,69505
24/02/2022;Onshore;820820,9
25/02/2022;Offshore;513940
25/02/2022;Onshore;12158543,81
27/02/2022;Offshore;-700,294644
28/02/2022;Offshore;-172944,3562
02/03/2022;Offshore;-5257,470677
02/03/2022;Onshore;-2496538,13
03/03/2022;Offshore;-15199,02498
03/03/2022;Onshore;983598,26
04/03/2022;Offshore;-3138,722446
04/03/2022;Onshore;1656456,811
05/03/2022;Offshore;-1740,49182
07/03/2022;Onshore;993322,01
08/03/2022;Onshore;14155,13
09/03/2022;Onshore;-7900404,34
10/03/2022;Onshore;-1829834,4
11/03/2022;Onshore;-504821,01
14/03/2022;Onshore;-1338352,8
15/03/2022;Onshore;651668,15
16/03/2022;Onshore;6867857,93
17/03/2022;Offshore;-243,6672
17/03/2022;Onshore;-12833770,65
18/03/2022;Onshore;1475859,037
21/03/2022;Offshore;2979960
21/03/2022;Onshore;467371,48
22/03/2022;Onshore;802292,89
23/03/2022;Offshore;487040
23/03/2022;Onshore;-870215,56
24/03/2022;Offshore;240335
24/03/2022;Onshore;-20664,52
25/03/2022;Onshore;-671166,14
28/03/2022;Onshore;-1430094,652
29/03/2022;Onshore;-1948800,093
30/03/2022;Offshore;-27642,11407
30/03/2022;Onshore;-661715,9
31/03/2022;Onshore;4638161,3
01/04/2022;Offshore;-37874,74208
01/04/2022;Onshore;-581275,02
04/04/2022;Offshore;176847,6642
04/04/2022;Onshore;-712237,44
05/04/2022;Offshore;116000
05/04/2022;Onshore;-212248,07
06/04/2022;Onshore;11099234,69
07/04/2022;Onshore;-2606833,49
08/04/2022;Onshore;-1095194,68
11/04/2022;Onshore;-652585,77
12/04/2022;Onshore;53365,87
13/04/2022;Onshore;549847,18
14/04/2022;Onshore;12520134,56
17/04/2022;Offshore;-44,4512
18/04/2022;Onshore;1392418,61
19/04/2022;Offshore;-2916500
19/04/2022;Onshore;-482955,2
20/04/2022;Offshore;-10262,73802
20/04/2022;Onshore;-586339,02
22/04/2022;Onshore;1294034,92
25/04/2022;Onshore;-702606,14
26/04/2022;Onshore;1120602,39
27/04/2022;Onshore;12285439,41
28/04/2022;Onshore;-1305116,26
29/04/2022;Offshore;-32809,36399
29/04/2022;Onshore;-322031,54
01/05/2022;Offshore;0,049191
02/05/2022;Offshore;-74572,62696
02/05/2022;Onshore;-4720267,28
03/05/2022;Onshore;2540269,216
04/05/2022;Onshore;-261167,718
05/05/2022;Offshore;-7883,0325
05/05/2022;Onshore;16869,83
06/05/2022;Onshore;1328930,01
09/05/2022;Offshore;-38926,60408
09/05/2022;Onshore;5322735,25
10/05/2022;Offshore;-18757,35
10/05/2022;Onshore;574014,13
11/05/2022;Offshore;-245,9712
11/05/2022;Onshore;1831164,15
12/05/2022;Offshore;-18188,39156
12/05/2022;Onshore;1286309,83
13/05/2022;Onshore;6053787,05
16/05/2022;Onshore;1831676,67
17/05/2022;Onshore;-4535548,55
18/05/2022;Onshore;3441350,87
19/05/2022;Onshore;555295,79
20/05/2022;Onshore;5494711,93
23/05/2022;Onshore;-1253812,95
24/05/2022;Offshore;-40852,43403
24/05/2022;Onshore;-4029510,01
25/05/2022;Offshore;-135252,1921
25/05/2022;Onshore;-38808765,53
26/05/2022;Onshore;32969434,47
27/05/2022;Offshore;-623,99427
27/05/2022;Onshore;-576238,58
30/05/2022;Onshore;-854400,67
31/05/2022;Onshore;152958,86
01/06/2022;Offshore;-37754,98448
01/06/2022;Onshore;2430795,48
02/06/2022;Offshore;-2398852,379
02/06/2022;Onshore;-50786,52
03/06/2022;Offshore;-14483,23952
03/06/2022;Onshore;201861,56
06/06/2022;Offshore;-20,618609
06/06/2022;Onshore;-672375,1828
07/06/2022;Onshore;1104733,22
08/06/2022;Offshore;-83880,29329
08/06/2022;Onshore;-1056393,54
09/06/2022;Onshore;1742569,17
10/06/2022;Offshore;-2491800
10/06/2022;Onshore;4133742,358
13/06/2022;Onshore;2399162,92
14/06/2022;Onshore;3067040,89
15/06/2022;Offshore;-1124618
15/06/2022;Onshore;-431983,3
17/06/2022;Onshore;2752308,24
20/06/2022;Onshore;420976,8406
21/06/2022;Onshore;1520712,01
22/06/2022;Offshore;-4472,577979
22/06/2022;Onshore;-714691,53
23/06/2022;Onshore;-598173,45
24/06/2022;Offshore;-385689,5432
24/06/2022;Onshore;2672941,48
27/06/2022;Onshore;-2756576,717
28/06/2022;Offshore;-46961,1
28/06/2022;Onshore;-1026706,83
29/06/2022;Offshore;-25784,48388
29/06/2022;Onshore;1457306,17
30/06/2022;Onshore;11540278,68
01/07/2022;Offshore;-875,939586
01/07/2022;Onshore;692750,56
04/07/2022;Onshore;-380609,91
05/07/2022;Offshore;-21747,54581
05/07/2022;Onshore;1551679,825
06/07/2022;Onshore;309117,47
07/07/2022;Onshore;2330894,27
08/07/2022;Onshore;36834127,94
11/07/2022;Onshore;-1001044,32
12/07/2022;Onshore;638686,46
13/07/2022;Onshore;-535721,52
14/07/2022;Onshore;-137818,7
15/07/2022;Onshore;735546,72
18/07/2022;Onshore;1954778,7
19/07/2022;Offshore;2223540
19/07/2022;Onshore;119251,57
20/07/2022;Onshore;789612,7
21/07/2022;Onshore;-173330,77
22/07/2022;Onshore;776991,89
25/07/2022;Offshore;-431214,5111
25/07/2022;Onshore;1379963,61
26/07/2022;Onshore;-2487308,379
27/07/2022;Onshore;662294,4827
28/07/2022;Onshore;11952509,38
29/07/2022;Onshore;92920,36
01/08/2022;Offshore;-111523,5075
01/08/2022;Onshore;268943,52
02/08/2022;Offshore;-21114,07122
02/08/2022;Onshore;-446485,77
03/08/2022;Offshore;-30122220
03/08/2022;Onshore;91276,95812
04/08/2022;Onshore;484029,71
05/08/2022;Onshore;2742777,17
08/08/2022;Onshore;264642,49
09/08/2022;Onshore;-135663,22
10/08/2022;Onshore;134802,46
11/08/2022;Onshore;909061,08
12/08/2022;Onshore;-670506,48
15/08/2022;Onshore;-250609,59
16/08/2022;Onshore;2038599,09
17/08/2022;Onshore;1411861,5
18/08/2022;Onshore;301966,83
19/08/2022;Offshore;392857,8954
19/08/2022;Onshore;1262324,79
22/08/2022;Onshore;1262661,98
23/08/2022;Onshore;-1260611,16
24/08/2022;Onshore;-542742,61
25/08/2022;Offshore;-14275,83416
25/08/2022;Onshore;-130052,22
26/08/2022;Onshore;929637,49
29/08/2022;Onshore;-23676553,24
30/08/2022;Offshore;-51280,28517
30/08/2022;Onshore;594651,42
31/08/2022;Onshore;25138026,66
01/09/2022;Onshore;-1237493,318
02/09/2022;Offshore;-20932,09859
02/09/2022;Onshore;-28944,34961
05/09/2022;Onshore;-829241,8634
06/09/2022;Offshore;-8878,76
06/09/2022;Onshore;2568576,167
08/09/2022;Onshore;1682603,33
09/09/2022;Offshore;-4121,139528
09/09/2022;Onshore;-684340,71
12/09/2022;Onshore;1667753,006
13/09/2022;Offshore;-258970
13/09/2022;Onshore;610085,71
14/09/2022;Onshore;266579,29
15/09/2022;Onshore;-176987,701
16/09/2022;Onshore;2764626,34
19/09/2022;Onshore;3271356,89
20/09/2022;Onshore;981084,19
21/09/2022;Onshore;1195376,1
22/09/2022;Onshore;1642484,241
23/09/2022;Onshore;-173396,58
26/09/2022;Onshore;674110,98
27/09/2022;Onshore;11027,88
28/09/2022;Onshore;2059632,55
29/09/2022;Onshore;3572229,9
30/09/2022;Onshore;3068740,39
03/10/2022;Onshore;975966,31
04/10/2022;Onshore;249547,15
05/10/2022;Onshore;2674245,552
06/10/2022;Onshore;798957,6
07/10/2022;Onshore;1736485,15
10/10/2022;Onshore;2151617,074
11/10/2022;Onshore;-875934,08
13/10/2022;Onshore;-3465152,227
14/10/2022;Onshore;1573230,48
17/10/2022;Onshore;-47193,03
18/10/2022;Onshore;2308772,41
19/10/2022;Onshore;-2196578,17
20/10/2022;Onshore;24056507,14
21/10/2022;Onshore;5272851,33
24/10/2022;Onshore;342969,47
25/10/2022;Onshore;-308478,41
26/10/2022;Onshore;2435816,57
27/10/2022;Onshore;-969123,15
28/10/2022;Onshore;1867045,75
31/10/2022;Offshore;-2254469,234
31/10/2022;Onshore;-8478491,66
01/11/2022;Onshore;-4457195,48
03/11/2022;Onshore;580031,31
04/11/2022;Onshore;89176,59
07/11/2022;Onshore;-152176,21
08/11/2022;Onshore;651349,54
09/11/2022;Onshore;788522,94
10/11/2022;Onshore;16236036
11/11/2022;Onshore;626135,63
14/11/2022;Onshore;38965666,94
16/11/2022;Onshore;2682078,71
17/11/2022;Onshore;2410784,745
18/11/2022;Onshore;3913526,72
21/11/2022;Onshore;1144572,62
22/11/2022;Onshore;721558,64
23/11/2022;Onshore;-580924,92
24/11/2022;Onshore;324644,16
25/11/2022;Onshore;-1058087,38
28/11/2022;Onshore;3685855,19
29/11/2022;Onshore;3954696,63
30/11/2022;Offshore;-6628819,427
30/11/2022;Onshore;709263,03
01/12/2022;Onshore;120528,8142
02/12/2022;Onshore;-1305835,53
05/12/2022;Onshore;10204573,69
06/12/2022;Onshore;161505,38
07/12/2022;Onshore;-8603857,45
08/12/2022;Onshore;8484364,39
09/12/2022;Onshore;3770704,33
12/12/2022;Onshore;12406,94
13/12/2022;Onshore;798862,92
14/12/2022;Onshore;84270,22
15/12/2022;Onshore;-3585688,94
16/12/2022;Onshore;1172241,97
19/12/2022;Onshore;3558429,11
20/12/2022;Offshore;3546454,298
20/12/2022;Onshore;4903238,636
21/12/2022;Onshore;196282,7751
22/12/2022;Onshore;5167519,84
23/12/2022;Onshore;-4518041,22
26/12/2022;Onshore;-897464,1507
27/12/2022;Onshore;-15712,05
28/12/2022;Onshore;1341569,41
29/12/2022;Onshore;-2096288,843
30/12/2022;Onshore;71143,72
31/12/2022;Onshore;18809778,99
02/01/2023;Onshore;159492,52
03/01/2023;Offshore;-73237,76727
03/01/2023;Onshore;-148417,47
04/01/2023;Offshore;-95,030955
04/01/2023;Onshore;6097332,81
05/01/2023;Onshore;-722913,01
06/01/2023;Offshore;0
06/01/2023;Onshore;9571456,94
09/01/2023;Onshore;3383660,677
10/01/2023;Onshore;3263981,631
11/01/2023;Offshore;-26010
11/01/2023;Onshore;-300855,07
12/01/2023;Onshore;-6481428,56
13/01/2023;Onshore;353154,01
16/01/2023;Onshore;386505,0505
17/01/2023;Offshore;1273921,475
17/01/2023;Onshore;-633505,3414
18/01/2023;Offshore;1516,884564
18/01/2023;Onshore;2941991,97
19/01/2023;Onshore;3606889,25
20/01/2023;Offshore;-31191,6
20/01/2023;Onshore;165523,7191
23/01/2023;Onshore;1140029,658
24/01/2023;Offshore;-5324,688
24/01/2023;Onshore;-2623228,117
25/01/2023;Offshore;67,88586
25/01/2023;Onshore;682221,7702
26/01/2023;Offshore;5043,384735
26/01/2023;Onshore;-3217673,213
27/01/2023;Offshore;236466,6447
27/01/2023;Onshore;-938164,162
28/01/2023;Offshore;-12868,21609
29/01/2023;Offshore;-59,90506
30/01/2023;Offshore;-73710,00226
30/01/2023;Onshore;-2630827,249
31/01/2023;Offshore;-44,618875
31/01/2023;Onshore;-500529,7437
01/02/2023;Offshore;-116055,6838
01/02/2023;Onshore;-1244458,519
02/02/2023;Offshore;-281103,1615
02/02/2023;Onshore;-1238403,03
03/02/2023;Offshore;-94,20138
03/02/2023;Onshore;-8125901,234
06/02/2023;Onshore;-1921386,58
07/02/2023;Offshore;-84546,60386
07/02/2023;Onshore;-3843569,67
08/02/2023;Offshore;-18705,53703
08/02/2023;Onshore;1085880,796
09/02/2023;Offshore;-107245,75
09/02/2023;Onshore;20382698,94
10/02/2023;Onshore;1545066,04
13/02/2023;Offshore;0
13/02/2023;Onshore;-610820,9558
14/02/2023;Offshore;62,581005
14/02/2023;Onshore;5420653,75
15/02/2023;Offshore;-1567290
15/02/2023;Onshore;2799375,43
16/02/2023;Offshore;17,722016
16/02/2023;Onshore;3431074,785
17/02/2023;Offshore;-15590,49298
17/02/2023;Onshore;184090,19
18/02/2023;Offshore;-11191,63009
19/02/2023;Offshore;-1097,245152
22/02/2023;Offshore;-20692
22/02/2023;Onshore;-1061701,549
23/02/2023;Offshore;51,07335
23/02/2023;Onshore;-331967,4
24/02/2023;Offshore;16338,50677
24/02/2023;Onshore;-8575938,359
25/02/2023;Offshore;-1208,698358
27/02/2023;Offshore;-116077,5488
27/02/2023;Onshore;-834751,8122
28/02/2023;Offshore;-10415,6
28/02/2023;Onshore;-209801,5997
01/03/2023;Offshore;-6458,34624
01/03/2023;Onshore;1509648,46
02/03/2023;Offshore;-22002,60216
02/03/2023;Onshore;-48093,83
03/03/2023;Offshore;-536226,3504
03/03/2023;Onshore;319509,17
05/03/2023;Onshore;-2310,88
06/03/2023;Offshore;159433,9818
06/03/2023;Onshore;-3930835,6
07/03/2023;Offshore;67,315597
07/03/2023;Onshore;-1982248,419
08/03/2023;Offshore;1505364,18
08/03/2023;Onshore;-1322478,838
09/03/2023;Offshore;19,565493
09/03/2023;Onshore;-1833036,58
10/03/2023;Offshore;4851,782928
10/03/2023;Onshore;1844925,599
13/03/2023;Offshore;-26200
13/03/2023;Onshore;5805513,539
14/03/2023;Onshore;-110729,54
15/03/2023;Offshore;-1854335
15/03/2023;Onshore;2735068,553
16/03/2023;Onshore;2183010,944
17/03/2023;Offshore;-663968,0651
17/03/2023;Onshore;364286,4475
19/03/2023;Onshore;-451,62
20/03/2023;Offshore;-12198,5775
20/03/2023;Onshore;-8936534,67
21/03/2023;Offshore;24,229128
21/03/2023;Onshore;482667,57
22/03/2023;Offshore;-2995,6712
22/03/2023;Onshore;1680395,587
23/03/2023;Offshore;139,895856
23/03/2023;Onshore;4116448,92
24/03/2023;Offshore;42600,50534
24/03/2023;Onshore;-58469049,52
27/03/2023;Onshore;1521030,77
28/03/2023;Offshore;0
28/03/2023;Onshore;56920208,76
29/03/2023;Offshore;30,432363
29/03/2023;Onshore;554787,86
30/03/2023;Offshore;-188534,405
30/03/2023;Onshore;-2237096,33
31/03/2023;Offshore;-40395,68291
31/03/2023;Onshore;3913860,87
03/04/2023;Offshore;-50001,80947
03/04/2023;Onshore;-932394,4
04/04/2023;Offshore;-35025,78
04/04/2023;Onshore;204534,3868
05/04/2023;Offshore;0
05/04/2023;Onshore;2924862,49
06/04/2023;Onshore;28224,8
08/04/2023;Onshore;1500
10/04/2023;Offshore;19,011916
10/04/2023;Onshore;584621,2256
11/04/2023;Onshore;-75184,47
12/04/2023;Offshore;4910,646648
12/04/2023;Onshore;-1394714,93
13/04/2023;Onshore;-98192,01137
14/04/2023;Offshore;494550
14/04/2023;Onshore;1512961,59
15/04/2023;Onshore;472,17
